% of Total,@Bar Color using Set,@Fake Highlight,@Highlight Bar Chart by Dist,@Highlight Bar Chart by Dist Group,@Swap Bars Filter,Close Date,Days in Theaters,Distributor,Distributor (copy),Distributor (group),Distributor (group) (copy),Highlight by Distributor Color,Length,Open Th,Rank ,Rank  ,Release,Release (copy),Release Date,Release Date (copy),Theaters,Total Gross (bin),@Bottom Bar Instructions Filter,@Bubble Size,@Highlight Bar Chart by Month,@Scatter Instructions Filter,@Top Movies Instructions Filter,@Worldwide Gross Non Null,Budget,Gross per Release,Number of Records,Opening,Random,Rank,Total Gross,Total Gross (copy),Worldwide Gross,Worldwide Profit
35.10%,Paramount Pictures,,NADA,NADA,Month,09/05/2019,55,Paramount Pictures,Paramount Pictures,Paramount Pictures,Paramount Pictures,3,11,"3,838",60 / 788,60,Wonder Park,Wonder Park,15/03/2019,15/03/2019,"3,838",40000K,21,$45.2 Million,3,11,1,15115984,$100M,45216793,1,15853646,93510,60,45216793,$45.2M,115115984,$15M
42.10%,Lionsgate,,NADA,NADA,Month,21/11/2019,62,Lionsgate,Lionsgate,Lionsgate,Lionsgate,9,17,"3,618",61 / 788,61,Rambo: Last Blood,Rambo: Last Blood,20/09/2019,20/09/2019,"3,618",40000K,21,$44.8 Million,9,11,1,0,,44819352,1,18872919,10139,61,44819352,$44.8M,,$0M
28.60%,Paramount Pictures,,NADA,NADA,Month,,NA,Paramount Pictures,Paramount Pictures,Paramount Pictures,Paramount Pictures,11,17,"3,125",62 / 788,62,Playing with Fire,Playing with Fire,08/11/2019,08/11/2019,"3,185",40000K,21,$44.5 Million,11,11,1,0,,44451847,1,12723781,49099,62,44451847,$44.5M,,$0M
27.10%,Universal Pictures,,NADA,NADA,Month,,NA,Universal Pictures,Universal Pictures,Universal Pictures,Universal Pictures,11,12,"1,690",63 / 788,63,Queen & Slim,Queen & Slim,27/11/2019,27/11/2019,"1,715",40000K,21,$43.8 Million,11,11,1,24608310,$20M,43808310,1,11890490,54143,63,43808310,$43.8M,44608310,$25M
27.10%,Focus Features,,NADA,NADA,Month,22/01/2019,-283,Focus Features,Focus Features,Focus Features,Focus Features,11,7,"2,059",64 / 788,64,Harriet,Harriet,01/11/2019,01/11/2019,"2,186",40000K,21,$43.1 Million,11,11,1,26234155,$17M,43082155,1,11676720,91704,64,43082155,$43.1M,43234155,$26M
26.80%,Sony Pictures Releasing,,NADA,NADA,Month,28/03/2019,77,Sony Pictures Releasing,Sony Pictures Releasing,Sony Pictures Releasing,Sony Pictures Releasing,1,16,"3,090",65 / 788,65,A Dog's Way Home,A Dog's Way Home,10/01/2019,10/01/2019,"3,090",40000K,21,$42.0 Million,1,11,1,20152505,$61M,42004346,1,11251263,16893,65,42004346,$42.0M,81152505,$20M
24.80%,Sony Pictures Releasing,,NADA,NADA,Month,14/11/2019,93,Sony Pictures Releasing,Sony Pictures Releasing,Sony Pictures Releasing,Sony Pictures Releasing,8,23,"3,869",66 / 788,66,The Angry Birds Movie 2,The Angry Birds Movie 2,13/08/2019,13/08/2019,"3,869",40000K,21,$41.7 Million,8,11,1,85437063,$65M,41667116,1,10354073,92558,66,41667116,$41.7M,150437063,$85M
27.70%,Twentieth Century Fox,,NADA,NADA,Month,04/07/2019,78,Twentieth Century Fox,Twentieth Century Fox,Twentieth Century Fox,Twentieth Century Fox,4,12,"2,824",67 / 788,67,Breakthrough,Breakthrough,17/04/2019,17/04/2019,"2,913",40000K,21,$40.7 Million,4,11,1,0,,40713082,1,11282333,6399,67,40713082,$40.7M,,$0M
37.90%,Universal Pictures,,NADA,NADA,Month,06/06/2019,55,Universal Pictures,Universal Pictures,Universal Pictures,Universal Pictures,4,6,"2,667",68 / 788,68,Little,Little,12/04/2019,12/04/2019,"2,667",40000K,21,$40.7 Million,4,11,1,0,,40673960,1,15405455,38043,68,40673960,$40.7M,,$0M
30.80%,Paramount Pictures,,NADA,NADA,Month,05/09/2019,55,Paramount Pictures,Paramount Pictures,Paramount Pictures,Paramount Pictures,7,5,"3,170",69 / 788,69,Crawl,Crawl,12/07/2019,12/07/2019,"3,170",30000K,21,$39.0 Million,7,11,1,73014193,$17M,39014193,1,12005210,90684,69,39014193,$39.0M,90014193,$73M
30.60%,Screen Gems,,NADA,NADA,Month,27/06/2019,55,Screen Gems,Screen Gems,Screen Gems,Screen Gems,5,12,"2,222",70 / 788,70,The Intruder,The Intruder,03/05/2019,03/05/2019,"2,231",30000K,21,$35.4 Million,5,11,1,28474581,$8M,35419122,1,10855054,25413,70,35419122,$35.4M,36474581,$28M
36.70%,United Artists Releasing,,NADA,NADA,Month,11/07/2019,62,United Artists Releasing,United Artists Releasing,United Artists Releasing,United Artists Releasing,5,10,"3,007",71 / 788,71,The Hustle,The Hustle,10/05/2019,10/05/2019,"3,077",30000K,21,$35.4 Million,5,11,1,76896107,$21M,35417038,1,13007709,46768,71,35417038,$35.4M,97896107,$77M
32.50%,Universal Pictures,,NADA,NADA,Month,01/01/2019,-311,Universal Pictures,Universal Pictures,Universal Pictures,Universal Pictures,11,14,"3,448",72 / 788,72,Last Christmas,Last Christmas,08/11/2019,08/11/2019,"3,454",30000K,21,$35.2 Million,11,11,1,91529681,$30M,35150750,1,11441055,20519,72,35150750,$35.2M,121529681,$92M
23.40%,All Others (101 Total),,NADA,NADA,Month,05/12/2019,104,Affirm Films,Affirm Films,All Others (101 Total),All Others (101 Total),8,9,"1,723",73 / 788,73,Overcomer,Overcomer,23/08/2019,23/08/2019,"2,293",30000K,21,$34.7 Million,8,11,1,32648235,$5M,34746945,1,8146533,19112,73,34746945,$34.7M,37648235,$33M
34.30%,Lionsgate,,NADA,NADA,Month,18/04/2019,70,Lionsgate,Lionsgate,Lionsgate,Lionsgate,2,12,"2,630",74 / 788,74,Cold Pursuit,Cold Pursuit,07/02/2019,07/02/2019,"2,630",30000K,21,$32.1 Million,2,11,1,2599159,$60M,32138862,1,11030233,60699,74,32138862,$32.1M,62599159,$3M
1.20%,All Others (101 Total),,NADA,NADA,Month,,NA,Neon,Neon,All Others (101 Total),All Others (101 Total),10,8,3,75 / 788,75,Parasite,Parasite,11/10/2019,11/10/2019,"1,060",30000K,21,$31.8 Million,10,11,1,0,,31769280,1,393216,92663,75,31769280,$31.8M,,$0M
44.70%,Warner Bros.,,NADA,NADA,Month,08/01/2019,-304,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.,11,12,"3,855",76 / 788,76,Doctor Sleep,Doctor Sleep,08/11/2019,08/11/2019,"3,855",30000K,21,$31.6 Million,11,11,1,26856765,$45M,31581712,1,14114124,39458,76,31581712,$31.6M,71856765,$27M
32%,All Others (101 Total),,NADA,NADA,Month,19/02/2019,35,FUNimation Entertainment,FUNimation Entertainment,All Others (101 Total),All Others (101 Total),1,24,"1,238",77 / 788,77,Dragon Ball Super: Broly,Dragon Ball Super: Broly,15/01/2019,15/01/2019,"1,267",30000K,21,$30.7 Million,1,11,1,0,,30712119,1,9816197,93841,77,30712119,$30.7M,,$0M
1%,Lionsgate,,NADA,NADA,Month,,NA,Lionsgate,Lionsgate,Lionsgate,Lionsgate,12,9,4,78 / 788,78,Bombshell,Bombshell,13/12/2019,13/12/2019,"1,721",30000K,21,$30.5 Million,12,11,1,13826464,$32M,30529069,1,319157,62069,78,30529069,$30.5M,45826464,$14M
32.10%,Lionsgate,,NADA,NADA,Month,20/06/2019,48,Lionsgate,Lionsgate,Lionsgate,Lionsgate,5,9,"3,230",79 / 788,79,Long Shot,Long Shot,03/05/2019,03/05/2019,"3,230",30000K,21,$30.3 Million,5,11,1,13599320,$40M,30316271,1,9740064,2805,79,30316271,$30.3M,53599320,$14M
48.30%,United Artists Releasing,,NADA,NADA,Month,08/08/2019,48,United Artists Releasing,United Artists Releasing,United Artists Releasing,United Artists Releasing,6,12,"3,007",80 / 788,80,Child's Play,Child's Play,21/06/2019,21/06/2019,"3,007",20000K,21,$29.2 Million,6,11,1,0,,29208403,1,14094594,35611,80,29208403,$29.2M,,$0M
27.90%,All Others (101 Total),,NADA,NADA,Month,24/10/2019,64,Fox Searchlight Pictures,Fox Searchlight Pictures,All Others (101 Total),All Others (101 Total),8,12,"2,855",81 / 788,81,Ready or Not,Ready or Not,21/08/2019,21/08/2019,"2,998",20000K,21,$28.7 Million,8,11,1,0,,28714231,1,8015590,3259,81,28714231,$28.7M,,$0M
0.40%,Warner Bros.,,NADA,NADA,Month,,NA,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.,12,10,4,82 / 788,82,Just Mercy,Just Mercy,25/12/2019,25/12/2019,"2,457",20000K,21,$28.6 Million,12,11,1,0,,28641409,1,107858,40715,82,28641409,$28.6M,,$0M
32.50%,STX Entertainment,,NADA,NADA,Month,22/01/2019,-304,STX Entertainment,STX Entertainment,STX Entertainment,STX Entertainment,11,10,"2,665",83 / 788,83,21 Bridges,21 Bridges,22/11/2019,22/11/2019,"2,665",20000K,21,$28.5 Million,11,11,1,0,,28539757,1,9261268,29565,83,28539757,$28.5M,,$0M
33.90%,Universal Pictures,,NADA,NADA,Month,04/04/2019,51,Universal Pictures,Universal Pictures,Universal Pictures,Universal Pictures,2,18,"3,207",84 / 788,84,Happy Death Day 2U,Happy Death Day 2U,12/02/2019,12/02/2019,"3,212",20000K,21,$28.1 Million,2,11,1,55686515,$9M,28051045,1,9497665,36116,84,28051045,$28.1M,64686515,$56M
23.90%,A24,,NADA,NADA,Month,,NA,A24,A24,A24,A24,7,9,"2,707",85 / 788,85,Midsommar,Midsommar,03/07/2019,03/07/2019,"2,707",20000K,21,$27.4 Million,7,11,1,0,,27426361,1,6560030,15603,85,27426361,$27.4M,,$0M
24.50%,Universal Pictures,,NADA,NADA,Month,,NA,Universal Pictures,Universal Pictures,Universal Pictures,Universal Pictures,12,4,"3,380",86 / 788,86,Cats,Cats,20/12/2019,20/12/2019,"3,380",20000K,21,$27.0 Million,12,11,1,0,,27015185,1,6619870,37945,86,27015185,$27.0M,,$0M
1.30%,All Others (101 Total),,NADA,NADA,Month,,NA,Fox Searchlight Pictures,Fox Searchlight Pictures,All Others (101 Total),All Others (101 Total),10,11,5,87 / 788,87,Jojo Rabbit,Jojo Rabbit,18/10/2019,18/10/2019,"1,173",20000K,21,$26.6 Million,10,11,1,50640209,$14M,26628411,1,349555,9231,87,26628411,$26.6M,64640209,$51M
30.80%,Twentieth Century Fox,,NADA,NADA,Month,24/10/2019,76,Twentieth Century Fox,Twentieth Century Fox,Twentieth Century Fox,Twentieth Century Fox,8,29,"2,765",88 / 788,88,The Art of Racing in the Rain,The Art of Racing in the Rain,09/08/2019,09/08/2019,"2,765",20000K,21,$26.4 Million,8,11,1,0,,26395642,1,8137584,95345,88,26395642,$26.4M,,$0M
34.60%,STX Entertainment,,NADA,NADA,Month,08/01/2019,-290,STX Entertainment,STX Entertainment,STX Entertainment,STX Entertainment,10,9,"2,675",89 / 788,89,Countdown,Countdown,25/10/2019,25/10/2019,"2,675",20000K,21,$25.6 Million,10,11,1,29119714,$7M,25621766,1,8865082,44413,89,25621766,$25.6M,35619714,$29M
12.10%,All Others (101 Total),,NADA,NADA,Month,,NA,Roadside Attractions,Roadside Attractions,All Others (101 Total),All Others (101 Total),9,4,461,90 / 788,90,Judy,Judy,27/09/2019,27/09/2019,"1,627",20000K,21,$24.2 Million,9,11,1,0,,24155145,1,2916548,35135,90,24155145,$24.2M,,$0M
0.60%,All Others (101 Total),,NADA,NADA,Month,23/05/2019,99,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),All Others (101 Total),All Others (101 Total),2,23,4,91 / 788,91,Fighting with My Family,Fighting with My Family,13/02/2019,13/02/2019,"2,855",20000K,21,$23.0 Million,2,11,1,30503089,$11M,22958886,1,138780,47673,91,22958886,$23.0M,41503089,$31M
30.60%,United Artists Releasing,,NADA,NADA,Month,08/08/2019,76,United Artists Releasing,United Artists Releasing,United Artists Releasing,United Artists Releasing,5,9,"2,505",92 / 788,92,Booksmart,Booksmart,24/05/2019,24/05/2019,"2,518",20000K,21,$22.7 Million,5,11,1,0,,22680962,1,6933620,26220,92,22680962,$22.7M,,$0M
35.60%,Universal Pictures,,NADA,NADA,Month,18/07/2019,62,Universal Pictures,Universal Pictures,Universal Pictures,Universal Pictures,5,15,"3,267",93 / 788,93,A Dog's Journey,A Dog's Journey,17/05/2019,17/05/2019,"3,279",20000K,21,$22.5 Million,5,11,1,0,,22546590,1,8030085,49001,93,22546590,$22.5M,,$0M
36.80%,Twentieth Century Fox,,NADA,NADA,Month,29/08/2019,48,Twentieth Century Fox,Twentieth Century Fox,Twentieth Century Fox,Twentieth Century Fox,7,6,"3,050",94 / 788,94,Stuber,Stuber,12/07/2019,12/07/2019,"3,050",20000K,21,$22.4 Million,7,11,1,0,,22370452,1,8225384,30564,94,22370452,$22.4M,,$0M
21.10%,Warner Bros.,,NADA,NADA,Month,,NA,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.,12,14,"2,502",95 / 788,95,Richard Jewell,Richard Jewell,13/12/2019,13/12/2019,"2,502",20000K,21,$22.3 Million,12,11,1,0,,22304605,1,4705265,10838,95,22304605,$22.3M,,$0M
37.90%,All Others (101 Total),,NADA,NADA,Month,,NA,Entertainment Studios Motion Pictures,Entertainment Studios Motion Pictures,All Others (101 Total),All Others (101 Total),8,23,"2,853",96 / 788,96,47 Meters Down: Uncaged,47 Meters Down: Uncaged,16/08/2019,16/08/2019,"2,883",20000K,21,$22.3 Million,8,11,1,0,,22260900,1,8427265,37921,96,22260900,$22.3M,,$0M
38%,Screen Gems,,NADA,NADA,Month,01/01/2019,-297,Screen Gems,Screen Gems,Screen Gems,Screen Gems,10,14,"2,062",97 / 788,97,Black and Blue,Black and Blue,25/10/2019,25/10/2019,"2,062",20000K,21,$22.1 Million,10,11,1,0,,22055313,1,8376846,97463,97,22055313,$22.1M,,$0M
55%,Lionsgate,,NADA,NADA,Month,16/05/2019,34,Lionsgate,Lionsgate,Lionsgate,Lionsgate,4,7,"3,303",98 / 788,98,Hellboy,Hellboy,12/04/2019,12/04/2019,"3,303",20000K,21,$21.9 Million,4,11,1,-9213520,$50M,21903748,1,12045147,91476,98,21903748,$21.9M,40786480,($9M)
41.70%,Warner Bros.,,NADA,NADA,Month,15/08/2019,62,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.,6,5,"2,952",99 / 788,99,Shaft,Shaft,14/06/2019,14/06/2019,"2,952",20000K,21,$21.4 Million,6,11,1,-8639785,$30M,21360215,1,8901419,29234,99,21360215,$21.4M,21360215,($9M)
1%,All Others (101 Total),,NADA,NADA,Month,19/12/2019,132,Roadside Attractions,Roadside Attractions,All Others (101 Total),All Others (101 Total),8,24,17,100 / 788,100,The Peanut Butter Falcon,The Peanut Butter Falcon,09/08/2019,09/08/2019,"1,490",20000K,21,$20.5 Million,8,11,1,0,,20457151,1,204793,37027,100,20457151,$20.5M,,$0M
42.70%,STX Entertainment,,NADA,NADA,Month,04/07/2019,62,STX Entertainment,STX Entertainment,STX Entertainment,STX Entertainment,5,9,"3,652",101 / 788,101,UglyDolls,UglyDolls,03/05/2019,03/05/2019,"3,652",20000K,21,$20.2 Million,5,11,1,-16837029,$45M,20150241,1,8603407,64371,101,20150241,$20.2M,28162971,($17M)
33.60%,All Others (101 Total),,NADA,NADA,Month,,NA,Pure Flix Entertainment,Pure Flix Entertainment,All Others (101 Total),All Others (101 Total),3,9,"1,059",102 / 788,102,Unplanned,Unplanned,29/03/2019,29/03/2019,"1,516",10000K,21,$19.0 Million,3,11,1,15050681,$6M,19005109,1,6382298,20843,102,19005109,$19.0M,21050681,$15M
46.90%,Sony Pictures Releasing,,NADA,NADA,Month,,NA,Sony Pictures Releasing,Sony Pictures Releasing,Sony Pictures Releasing,Sony Pictures Releasing,11,16,"3,452",103 / 788,103,Charlie's Angels,Charlie's Angels,15/11/2019,15/11/2019,"3,452",10000K,21,$17.8 Million,11,11,1,22455668,$48M,17803077,1,8351109,18440,103,17803077,$17.8M,70455668,$22M
2%,A24,,NADA,NADA,Month,,NA,A24,A24,A24,A24,7,12,4,104 / 788,104,The Farewell,The Farewell,12/07/2019,12/07/2019,891,10000K,21,$17.7 Million,7,11,1,18900898,$3M,17695781,1,355662,23121,104,17695781,$17.7M,21900898,$19M
45.30%,Screen Gems,,NADA,NADA,Month,27/06/2019,34,Screen Gems,Screen Gems,Screen Gems,Screen Gems,5,10,"2,607",105 / 788,105,Brightburn,Brightburn,24/05/2019,24/05/2019,"2,607",10000K,21,$17.3 Million,5,11,1,26095282,$7M,17300439,1,7845658,56123,105,17300439,$17.3M,33095282,$26M
32.70%,Warner Bros.,,NADA,NADA,Month,15/01/2019,-304,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.,11,13,"2,439",106 / 788,106,The Good Liar,The Good Liar,15/11/2019,15/11/2019,"2,454",10000K,21,$17.2 Million,11,11,1,0,,17156058,1,5605051,77742,106,17156058,$17.2M,,$0M
42.70%,Twentieth Century Fox,,NADA,NADA,Month,04/04/2019,70,Twentieth Century Fox,Twentieth Century Fox,Twentieth Century Fox,Twentieth Century Fox,1,25,"3,521",107 / 788,107,The Kid Who Would Be King,The Kid Who Would Be King,24/01/2019,24/01/2019,"3,528",10000K,21,$16.8 Million,1,11,1,-30703017,$59M,16790790,1,7173887,23458,107,16790790,$16.8M,28296983,($31M)
35.70%,United Artists Releasing,,NADA,NADA,Month,11/07/2019,90,United Artists Releasing,United Artists Releasing,United Artists Releasing,United Artists Releasing,4,12,"3,413",108 / 788,108,Missing Link,Missing Link,12/04/2019,12/04/2019,"3,437",10000K,21,$16.6 Million,4,11,1,0,,16649539,1,5944950,41404,108,16649539,$16.6M,,$0M
1.60%,All Others (101 Total),,NADA,NADA,Month,29/08/2019,83,Amazon Studios,Amazon Studios,All Others (101 Total),All Others (101 Total),6,10,4,109 / 788,109,Late Night,Late Night,07/06/2019,07/06/2019,"2,220",10000K,21,$15.5 Million,6,11,1,17054128,$4M,15499454,1,246305,9086,109,15499454,$15.5M,21054128,$17M
45.70%,Sony Pictures Releasing,,NADA,NADA,Month,21/03/2019,49,Sony Pictures Releasing,Sony Pictures Releasing,Sony Pictures Releasing,Sony Pictures Releasing,1,9,"2,203",110 / 788,110,Miss Bala,Miss Bala,31/01/2019,31/01/2019,"2,203",10000K,21,$15.0 Million,1,11,1,364632,$15M,15006824,1,6864744,67783,110,15006824,$15.0M,15364632,$0M
39.40%,All Others (101 Total),,NADA,NADA,Month,11/04/2019,63,Orion Pictures,Orion Pictures,All Others (101 Total),All Others (101 Total),2,11,"2,530",111 / 788,111,The Prodigy,The Prodigy,07/02/2019,07/02/2019,"2,530",10000K,21,$14.9 Million,2,11,1,13789712,$6M,14856291,1,5853061,70392,111,14856291,$14.9M,19789712,$14M
39.30%,STX Entertainment,,NADA,NADA,Month,20/06/2019,41,STX Entertainment,STX Entertainment,STX Entertainment,STX Entertainment,5,4,"2,750",112 / 788,112,Poms,Poms,10/05/2019,10/05/2019,"2,750",10000K,21,$13.6 Million,5,11,1,0,,13631124,1,5361937,1965,112,13631124,$13.6M,,$0M
45.40%,Warner Bros.,,NADA,NADA,Month,03/10/2019,55,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.,8,11,"2,745",113 / 788,113,The Kitchen,The Kitchen,09/08/2019,09/08/2019,"2,745",10000K,21,$12.2 Million,8,11,1,0,,12180032,1,5527410,9920,113,12180032,$12.2M,,$0M
49.40%,All Others (101 Total),,NADA,NADA,Month,06/06/2019,55,Aviron Pictures,Aviron Pictures,All Others (101 Total),All Others (101 Total),4,5,"2,138",114 / 788,114,After,After,12/04/2019,12/04/2019,"2,138",10000K,21,$12.1 Million,4,11,1,0,,12138565,1,6002349,45024,114,12138565,$12.1M,,$0M
36.40%,Warner Bros.,,NADA,NADA,Month,10/10/2019,55,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.,8,20,"2,307",115 / 788,115,Blinded by the Light,Blinded by the Light,16/08/2019,16/08/2019,"2,307",10000K,21,$11.9 Million,8,11,1,3067151,$15M,11901145,1,4333305,28100,115,11901145,$11.9M,18067151,$3M
0.90%,Focus Features,,NADA,NADA,Month,15/01/2019,-311,Focus Features,Focus Features,Focus Features,Focus Features,11,11,4,116 / 788,116,Dark Waters,Dark Waters,22/11/2019,22/11/2019,"2,112",10000K,21,$11.1 Million,11,11,1,0,,11136084,1,102606,76353,116,11136084,$11.1M,,$0M
3.90%,A24,,NADA,NADA,Month,,NA,A24,A24,A24,A24,10,14,8,117 / 788,117,The Lighthouse,The Lighthouse,18/10/2019,18/10/2019,978,10000K,21,$10.9 Million,10,11,1,0,,10867104,1,427797,57464,117,10867104,$10.9M,,$0M
42.60%,Focus Features,,NADA,NADA,Month,04/04/2019,34,Focus Features,Focus Features,Focus Features,Focus Features,3,5,"2,411",118 / 788,118,Greta,Greta,01/03/2019,01/03/2019,"2,417",10000K,21,$10.5 Million,3,11,1,0,,10519425,1,4481910,31077,118,10519425,$10.5M,,$0M
40.70%,Universal Pictures,,NADA,NADA,Month,,NA,Universal Pictures,Universal Pictures,Universal Pictures,Universal Pictures,12,15,"2,625",119 / 788,119,Black Christmas,Black Christmas,13/12/2019,13/12/2019,"2,625",10000K,21,$10.4 Million,12,11,1,13528789,$5M,10429730,1,4240245,65190,119,10429730,$10.4M,18528789,$14M
43.60%,STX Entertainment,,NADA,NADA,Month,16/05/2019,41,STX Entertainment,STX Entertainment,STX Entertainment,STX Entertainment,4,19,"1,705",120 / 788,120,The Best of Enemies,The Best of Enemies,05/04/2019,05/04/2019,"1,705",10000K,21,$10.2 Million,4,11,1,220614,$10M,10205616,1,4446190,45148,120,10205616,$10.2M,10220614,$0M
0.90%,All Others (101 Total),,NADA,NADA,Month,06/06/2019,76,Bleecker Street Media,Bleecker Street Media,All Others (101 Total),All Others (101 Total),3,12,4,121 / 788,121,Hotel Mumbai,Hotel Mumbai,22/03/2019,22/03/2019,930,0K,21,$9.7 Million,3,11,1,3832855,$17M,9651611,1,88065,68342,121,9651611,$9.7M,21132855,$4M
37.70%,Warner Bros.,,NADA,NADA,Month,19/12/2019,48,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.,11,19,"1,342",122 / 788,122,Motherless Brooklyn,Motherless Brooklyn,01/11/2019,01/11/2019,"1,342",0K,21,$9.3 Million,11,11,1,-7824953,$26M,9277736,1,3500454,45374,122,9277736,$9.3M,18175047,($8M)
41.30%,All Others (101 Total),,NADA,NADA,Month,02/05/2019,48,Pantelion Films,Pantelion Films,All Others (101 Total),All Others (101 Total),3,18,472,123 / 788,123,No Manches Frida 2,No Manches Frida 2,15/03/2019,15/03/2019,472,0K,21,$9.3 Million,3,11,1,0,,9270920,1,3831401,96092,123,9270920,$9.3M,,$0M
37.60%,United Artists Releasing,,NADA,NADA,Month,10/10/2019,55,United Artists Releasing,United Artists Releasing,United Artists Releasing,United Artists Releasing,8,26,"2,404",124 / 788,124,"Where'd You Go, Bernadette","Where'd You Go, Bernadette",16/08/2019,16/08/2019,"2,404",0K,21,$9.2 Million,8,11,1,0,,9198356,1,3462308,51942,124,9198356,$9.2M,,$0M
17.80%,All Others (101 Total),,NADA,NADA,Month,21/07/2019,142,Neon,Neon,All Others (101 Total),All Others (101 Total),3,9,120,125 / 788,125,Apollo 11,Apollo 11,01/03/2019,01/03/2019,588,0K,21,$9.0 Million,3,11,1,0,,9039891,1,1607040,92478,125,9039891,$9.0M,,$0M
51.70%,All Others (101 Total),,NADA,NADA,Month,07/03/2019,42,Aviron Pictures,Aviron Pictures,All Others (101 Total),All Others (101 Total),1,8,"2,561",126 / 788,126,Serenity,Serenity,24/01/2019,24/01/2019,"2,561",0K,21,$8.5 Million,1,11,1,-11991196,$25M,8547045,1,4415403,20106,126,8547045,$8.5M,13008804,($12M)
46.50%,Lionsgate,,NADA,NADA,Month,08/08/2019,48,Lionsgate,Lionsgate,Lionsgate,Lionsgate,6,4,"2,114",127 / 788,127,Anna,Anna,21/06/2019,21/06/2019,"2,114",0K,21,$7.7 Million,6,11,1,918091,$30M,7743794,1,3600647,98284,127,7743794,$7.7M,30918091,$1M
29.60%,Walt Disney Studios,,NADA,NADA,Month,13/06/2019,57,Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures,Walt Disney Studios,Walt Disney Studios,4,8,"1,815",128 / 788,128,Penguins,Penguins,17/04/2019,17/04/2019,"1,815",0K,21,$7.7 Million,4,11,1,0,,7699452,1,2282593,71518,128,7699452,$7.7M,,$0M
2.50%,All Others (101 Total),,NADA,NADA,Month,,NA,Amazon Studios,Amazon Studios,All Others (101 Total),All Others (101 Total),8,24,5,129 / 788,129,Brittany Runs a Marathon,Brittany Runs a Marathon,23/08/2019,23/08/2019,"1,033",0K,21,$7.2 Million,8,11,1,0,,7189808,1,180711,96600,129,7189808,$7.2M,,$0M
38.70%,Focus Features,,NADA,NADA,Month,18/07/2019,34,Focus Features,Focus Features,Focus Features,Focus Features,6,18,613,130 / 788,130,The Dead Don't Die,The Dead Don't Die,14/06/2019,14/06/2019,690,0K,21,$6.6 Million,6,11,1,0,,6563605,1,2540240,75326,130,6563605,$6.6M,,$0M
47.50%,Lionsgate,,NADA,NADA,Month,08/11/2019,28,Lionsgate,Lionsgate,Lionsgate,Lionsgate,10,4,"2,332",131 / 788,131,Jexi,Jexi,11/10/2019,11/10/2019,"2,332",0K,21,$6.5 Million,10,11,1,0,,6546159,1,3106730,45589,131,6546159,$6.5M,,$0M
33.60%,All Others (101 Total),,NADA,NADA,Month,02/05/2019,70,Roadside Attractions,Roadside Attractions,All Others (101 Total),All Others (101 Total),2,12,853,132 / 788,132,Run the Race,Run the Race,21/02/2019,21/02/2019,"1,075",0K,21,$6.4 Million,2,11,1,0,,6424420,1,2161480,99981,132,6424420,$6.4M,,$0M
44%,All Others (101 Total),,NADA,NADA,Month,,NA,101 Studios,101 Studios,All Others (101 Total),All Others (101 Total),10,31,"1,022",133 / 788,133,The Current War: Director's Cut,The Current War: Director's Cut,25/10/2019,25/10/2019,"1,082",0K,21,$6.0 Million,10,11,1,-19015409,$30M,5979540,1,2633717,25116,133,5979540,$6.0M,10984591,($19M)
52.60%,Focus Features,,NADA,NADA,Month,04/04/2019,20,Focus Features,Focus Features,Focus Features,Focus Features,3,13,"2,548",134 / 788,134,Captive State,Captive State,15/03/2019,15/03/2019,"2,549",0K,21,$6.0 Million,3,11,1,-15849598,$25M,5958315,1,3131525,44575,134,5958315,$6.0M,9150402,($16M)
28.70%,All Others (101 Total),,NADA,NADA,Month,04/04/2019,59,CMC Pictures,CMC Pictures,All Others (101 Total),All Others (101 Total),2,19,64,135 / 788,135,The Wandering Earth,The Wandering Earth,04/02/2019,04/02/2019,129,0K,21,$5.9 Million,2,11,1,0,,5875487,1,1685287,53865,135,5875487,$5.9M,,$0M
50%,All Others (101 Total),,NADA,NADA,Month,,NA,Entertainment Studios Motion Pictures,Entertainment Studios Motion Pictures,All Others (101 Total),All Others (101 Total),11,11,"2,844",136 / 788,136,Arctic Dogs,Arctic Dogs,01/11/2019,01/11/2019,"2,844",0K,21,$5.8 Million,11,11,1,-40758978,$50M,5801249,1,2901335,37425,136,5801249,$5.8M,9241022,($41M)
2.60%,A24,,NADA,NADA,Month,23/05/2019,76,A24,A24,A24,A24,3,11,5,137 / 788,137,Gloria Bell,Gloria Bell,08/03/2019,08/03/2019,"1,127",0K,21,$5.6 Million,3,11,1,0,,5611123,1,145218,72131,137,5611123,$5.6M,,$0M
